rs,name,lon,lat
33,Brezovicka,20.853,49.127
24,Cervena Voda,21.089,49.142
24,Dacov,20.928,49.148
24,Drienica,21.109,49.128
24,Dubovica,20.954,49.138
33,Jakubovany,21.141,49.104
79,Kamenica,20.958,49.188
79,Krasna Luka,20.821,49.194
33,Krivany,20.913,49.171
39,Lutina,21.049,49.162
33,Milpos,21.009,49.185
112,Nizny Slavkov,20.849,49.097
79,Olejnikov,21.062,49.181
33,Olsov,20.88,49.18
33,Pecovska Nova Ves,21.044,49.125
46,Poloma,20.829,49.168
39,Raznany,21.084,49.084
55,Rencisov,20.965,49.095
28,Rozkovany,20.994,49.143
192,Sabinov,21.099,49.103
46,Sarisske Michalany,21.136,49.068
33,Tichy Potok,20.788,49.148
39,Torysa,20.883,49.158
28,Uzovske Peklany,21.018,49.088
46,Bela nad Cirochou,22.111,48.972
28,Cukalovce,22.169,49.102
33,Dlhe nad Cirochou,22.061,48.96
46,Dubrava,22.358,48.875
66,Hostovice,22.144,49.118
46,Kalna Roztoka,22.311,48.973
46,Horne Semerovce,18.879,48.125
28,Horne Turovce,18.947,48.127
39,Horny Pial,18.45,48.157
112,Hronovce,18.658,47.995
24,Hronske Kosihy,18.594,48.267
33,Ina,18.418,48.173
33,Ipelske Ulany,19.05,48.126
94,Ipelsky Sokolec,18.8,48.021
55,Jablonovce,18.788,48.318
39,Jovice,20.549,48.631
24,Kruzna,20.472,48.638
24,Baskovce,22.206,48.785
55,Bezovce,22.154,48.627
94,Blatne Remety,22.105,48.703
28,Hlivistia,22.218,48.806
33,Horna,22.201,48.758
33,Husak,22.288,48.7
94,Chonkovce,22.242,48.78
39,Inovce,22.356,48.823
33,Jasenov,22.168,48.796
79,Jenkovce,22.214,48.653
79,Koromla,22.293,48.715
55,Krcava,22.247,48.678
46,Kristy,22.189,48.686
39,Lekarovce,22.156,48.601
24,Lopusne Pazite,18.827,49.28
33,Neslusa,18.743,49.315
55,Ochodnica,18.788,49.348
24,Povina,18.823,49.309
33,Rudina,18.745,49.288
79,Sneznica,18.788,49.264
66,Konska,19.718,49.119
276,Liptovsky Mikulas,19.612,49.084
28,Benadikova,19.681,49.076
66,Bobrovec,19.609,49.117
46,Bobrovnik,19.477,49.116
134,Demanovska Dolina,19.593,48.977
46,Dubrava,19.501,49.039
24,Galovany,19.533,49.072
24,Gotovany,19.499,49.067
66,Huty,19.569,49.221
39,Hybe,19.832,49.045
28,Jalovec,19.627,49.138
33,Kralova Lehota,19.793,49.019
112,Kvacany,19.538,49.163
39,Liptovska Sielnica,19.514,49.145
39,Liptovsky Ondrej,19.709,49.097
24,Liptovsky Trnovec,19.549,49.113
79,Vlkova,20.432,49.059
55,Vlkovce,20.5,49.049
33,Vojnany,20.442,49.248
46,Vrbov,20.425,49.086
39,Mala Frankova,20.301,49.312
66,Bijacovce,20.798,49.025
28,Dlhe Straze,20.523,49.021
24,Dolany,20.652,49.013
46,Domanovce,20.661,48.96
46,Dravce,20.49,49.019
39,Camovce,19.887,48.249
112,Divin,19.536,48.448
39,Kotmanova,19.58,48.485
33,Filakovske Kovace,19.776,48.292
94,Halic,19.576,48.352
28,Holisa,19.75,48.309
