rs,name,lon,lat
33,Mijnsheerenland,4.489,51.797
39,Blankenham,5.896,52.765
94,Haren,6.613,53.172
39,Hardinxveld-Giessendam,4.831,51.828
39,Velp,5.975,51.994
55,Goudswaard,4.275,51.795
94,Tubbergen,6.785,52.407
66,Biddinghuizen,5.691,52.454
24,Woltersum,6.733,53.272
24,Oostdijk,4.078,51.443
33,Oosternijkerk,6.054,53.379
39,Helenaveen,5.915,51.389
55,Noordbroek,6.873,53.192
33,Castenray,6.035,51.49
24,Westbeemster,4.899,52.574
28,Batenburg,5.63,51.822
112,Stramproy,5.72,51.195
28,Manderveen,6.779,52.445
33,De Glind,5.506,52.12
39,Hoogkerk,6.5,53.206
39,Nieuwkoop,4.778,52.152
46,Ossenisse,3.981,51.389
66,Kapelle,3.957,51.485
39,De Kiel,6.746,52.863
39,De Hoef,4.817,52.202
66,Ferwert,5.824,53.338
39,Noord Deurningen,7.025,52.398
28,Hooge Zwaluwe,4.741,51.689
39,Drouwen,6.795,52.952
24,Wissenkerke,3.746,51.584
39,Klarenbeek,6.069,52.168
28,Tzummarum,5.546,53.238
33,'t Veld,4.854,52.739
55,Stavenisse,4.012,51.586
66,Haulerwijk,6.331,53.066
39,Onna,6.148,52.773
79,Creil,5.659,52.764
46,Loosbroek,5.507,51.681
55,De Heurne,6.493,51.891
160,Zaltbommel,5.253,51.809
39,Giesbeek,6.065,51.992
160,Roden,6.426,53.141
55,Gronsveld,5.732,50.811
46,'s-Heerenberg,6.253,51.879
28,Loo,5.989,51.93
66,Uddel,5.782,52.258
66,Wapenveld,6.071,52.433
28,Easterein,5.617,53.097
46,Achlum,5.485,53.149
39,Eesveen,6.139,52.826
46,Woudenberg,5.417,52.081
79,Holten,6.416,52.279
46,Willemstad,4.442,51.69
39,Kollumerpomp,6.19,53.304
66,Strijen,4.554,51.743
55,Nieuwstadt,5.862,51.037
33,Rozenburg,4.245,51.907
94,Nieuw Namen,4.161,51.293
33,Oudesluis,4.807,52.833
39,Zuiddorpe,3.901,51.233
66,Marknesse,5.864,52.711
28,Jelsum,5.785,53.235
33,'t Loo,5.952,52.445
46,Philippine,3.759,51.28
46,Heijen,5.977,51.674
39,Arnhem,5.925,51.988
28,Sibbe,5.824,50.845
55,Aalst,5.475,51.396
39,Vijfhuizen,4.679,52.348
79,IJzendijke,3.616,51.322
66,Heinkenszand,3.81,51.467
39,De Lier,4.25,51.976
24,Papenveer,4.727,52.183
28,Boswijk,5.301,52.04
94,Cadzand,3.408,51.366
276,Harderwijk,5.626,52.344
66,Scheemda,6.967,53.178
28,Hekendorp,4.809,52.015
46,Nauerna,4.753,52.441
33,Zuidlaren,6.679,53.094
28,Blauwestad,7.05,53.167
33,Buinen,6.836,52.933
94,Sint-Oedenrode,5.461,51.565
39,Onstwedde,7.041,53.033
24,Herbaijum,5.494,53.184
28,Marienberg,6.574,52.511
46,Makkinga,6.218,52.981
24,Oudemolen,4.466,51.65
112,Gouda,4.712,52.024
33,Veeningen,6.37,52.671
66,Brielle,4.163,51.894
39,Goingarijp,5.775,53.012
24,Kaag,4.559,52.214
39,Merselo,5.928,51.529
94,Bleskensgraaf,4.781,51.872
33,Keijenborg,6.295,52.032
39,Zetten,5.715,51.927
33,Zeerijp,6.762,53.348
46,Middelie,5.016,52.536
28,Garrelsweer,6.764,53.31
39,Sleeuwijk,4.951,51.813
28,IJzerlo,6.542,51.889
160,Ommen,6.421,52.525
33,Garmerwolde,6.648,53.249
28,Ewijk,5.741,51.872
39,Menaam,5.658,53.215
39,Reutum,6.846,52.391
33,Oegstgeest,4.476,52.188
55,Ilpendam,4.951,52.464
28,Rucphen,4.558,51.533
28,Tuitjenhorn,4.75,52.739
55,Beerta,7.097,53.174
66,Stavoren,5.359,52.882
33,Almere-Poort,5.153,52.347
24,Warder,5.031,52.565
24,Soerendonk,5.575,51.302
39,Zijtaart,5.542,51.592
33,Hoorn,5.341,53.397
24,Aarlanderveen,4.728,52.142
39,Zieuwent,6.519,52.005
24,Wilbertoord,5.774,51.654
66,Wijk en Aalburg,5.127,51.758
39,Vilsteren,6.352,52.511
